Team,City,Country,Stadium,Address,Capacity,Pitch
Dunkerque,Dunkerque,France,Stade Marcel-Tribut,Avenue de Rosendaël,4200,Natural
Valence,,,,,,
Chateauroux,Châteauroux,France,Stade Gaston Petit,Avenue de La Châtre,17072,Césped Artificial
Red Star,,France,Stade Bauer,Saint-Ouen,10000,
Louhans Cuiseaux,Louhans,France,Parc des Sports du Bram,Rue de Bram 71500,8400,
Niort,,France,Stade René Gaillard,"105, avenue de la Venise Verte",10898,Natural
Le Mans,Mulsanne,France,MMArena,Chemin Aux Boeufs,25064,Natural
FC Felgueiras,,,,,,
Leça FC,Leça,Portugal,,,,
Campomaiorense,,,,,,
Guingamp,Guingamp,France,Stade du Roudourou,"15, boulevard Clémenceau 22202 Guingamp",18363,Natural
FC Gueugnon,Gueugnon,France,Stade Jean Laville,"16, rue Pasteur 71130",13872,
Écija Balompié,Écija,Spain,Municipal San Pablo,Calle de Cesteria,4000,Natural
Almería,Almería,Spain,Juegos del Mediterráneo,Calle de Belladona,15200,Natural
Alavés,Vitoria,Spain,Mendizorroza,"Cervantes Ibilbidea, s/n, 01007 Vitoria-Gasteiz, Araba",19940,Natural
Avellino,,Italy,Stadio Partenio,"Contrada Zoccolari, 1",10215,Natural
Reggina,Reggina,Italy,Stadio Oreste Granillo,Via Galileo Galilei,27763,Natural
Pistoiese,Pistoia,Italy,,,,
Arminia Bielefeld,Bielefeld,Germany,SchücoArena,Melanchthonstraße 31a 33615 Bielefeld,27300,Natural
VfB Lübeck,Lübeck,Germany,,,,
Huddersfield Town,Huddersfield,England,The John Smith's Stadium,Stadium Way,24554,Natural
Stade Briochin,Saint-Brieuc,France,Stade Fred Aubert,"31, rue Joseph Le Brix 22000",13500,
Beauvais Oise,Beauvais,France,Stade Pierre-Brisson,"171, avenue Marcel Dassault 60000 Beauvais",10000,
Troyes,Troyes,France,Stade de l'Aube,"42, avenue Robert Schuman",20842,Natural
FC Eindhoven,Eindhoven,Netherlands,Jan Louwers Stadion,Charles Roelslaan 1,5400,Natural
Emmen,Emmen,Netherlands,Univé Stadion,"Stadionpein 1, 7825SG Emmen",8600,Natural
TOP Oss,Oss,Netherlands,Frans Heesen Stadion,Mondriaanlaan 4,4700,Natural
BV Veendam ,,,,,,
Heracles,Almelo,Netherlands,Polman Stadion,Stadionlaan 1,8500,Césped Artificial
SC Telstar,Velsen,Netherlands,TATA Steel Stadion,"Minister van Houtenlaan 123, 1981 EK Velsen-Zuid",3625,Natural
Helmond Sport,Helmond,Netherlands,Lavans Stadion,Sportpark De Braak 7,4142,Natural
RBC Roosendaal,,,,,,
PEC Zwolle,Zwolle,Netherlands,IJsseldelta Stadion,Stadionplein 1,12500,Césped Artificial
Excelsior,Rótterdam,Netherlands,Stadion Woudestein,Honingerdijk 110,3541,Césped Artificial
Rio Ave,Vila do Conde,Portugal,Estádio do Rio Ave Futebol Clube,Rua Dona Maria Pães Ribeiro,12815,Natural
AZ Alkmaar,Alkmaar,Netherlands,AFAS Stadion,Stadionweg 1,17023,Natural
Ravenna FC,,Italy,Stadio Bruno Benelli,,,natural
Castel Sangro,,,,,,
Empoli,Empoli,Italy,Carlo Castellani,Via de Pianezzoli 50053 Empoli,21113,Natural
Gutersloh,Gutersloh,Germany,,,,
ES Wasquehal,Wasquehal,France,Complexe Sportif Lucien Montagne,11 Rue du Molinel 59290,500,
Académica,Coimbra,Portugal,Estádio Cidade de Coimbra,Rua Dom Manuel I,30075,Natural
Varzim,Varzim,Portugal,,,,
Numancia,Soria,Spain,Nuevo Los Pajaritos,"Campus de los Pajaritos, s/n. 42003 Soria",8727,Natural
Real Jaén,Jaén,Spain,Municipal La Victoria,"Avenida de Granada, s/n",12569,Natural
Castel di Sangro,,,,,,
AC Monza,,Italy,Stadio Comunale Brianteo,Via Franco Tognini,18568,Natural
Treviso,,,,,,
FC Maia,,,,,,
Moreirense,"Moreira de Cónegos, Portugal",Portugal,Comendador Joaquim Almeida Freitas,Avenida Comendador Joaquim de Almeida Freitas,9000,Natural
Academico Viseu,,Portugal,Estádio Municipal do Fontelo,Avenida José Relvas,14368,Natural
Alverca,Alverca do Ribatejo,Portugal,Complexo Desportivo do FC Alverca,,15000,
Desportivo Aves,Vila das Aves,Portugal,Estádio Clube Desportivo das Aves,"Rua Luis Gonzaga Mendes Carvalho, 265 4795-080",8560,Natural
Uniao Lamas,,Portugal,,,,
Greuther Fürth,Fürth,Germany,Sportpark Ronhof Thomas Sommer,Laubenweg 60 90765 Fürth,18000,Natural
Energie Cottbus,Cottbus,Germany,"Stadion der Freundschaft, Cottbus",Am Eliaspark 1,22528,Natural
Crewe Alexandra,Crewe,England,Alexandra Stadium,Gresty Road,10153,Natural
Bury,,,,,,
Stockport County,Cheshire,England,Edgeley Park,"Hardcastle Road, Edgeley",10852,Natural
Sedan,Sedán,France,Louis-Dugauguez,Boulevard de Lattre de Tassigny 8200,24000,
Ajaccio,Ajaccio,France,Stade François Coty,Ancienne route de Sartène Zone Industrielle du Vazzio,10660,Natural
Málaga,Málaga,Spain,La Rosaleda,Avenida de la Palmilla / Paseo de Martiricos,30044,Natural
Mallorca B,Palma de Mallorca,Spain,Son Bibiloni (Antonio Asensio),"Camino de los Reyes, s/n",1500,Césped natural
Ternana Calcio,,Italy,Stadio Libero Liberati,Viale dello Stadio,20100,Natural
CD Santa Clara,,Portugal,Estádio de São Miguel,Rua Comandante Jaime de Sousa 21,13277,Natural
Naval,,,,,,
Esposende,,Portugal,,,,
Ulm,Ulm,Germany,,,,
Rot-Weiß,,Germany,Stadion Niederrhein,Rechenacker 62,21318,
Creteil,"rue vasco de gama, cretiel",France,Stade Dominique Duvauchelle,Rue Dominique Duvauchelle,12050,Natural
Córdoba,Córdoba,Spain,Municipal Nuevo Arcángel,Estadio Municipal 'Nuevo Arcángel' Avda del Arcángel s/n,21822,Natural
AlzanoCene,,,,,,
FC Savoia 1908,Savoia,Italy,,,,
Fermana,Fermana,Italy,,,,
SC Freamunde,,,,,,
SP. Covilhã,,Portugal,Estádio Municipal José dos Santos Pinto,Edifício Sporting Shopping Center Rua Visconde da Coriscada Apartado 302 6200-077 Covilhã,6125,Natural
Imortal,,,,,,
Kickers Offenbach,Offenbach,Germany,Bieberer Berg Stadion,Bieberer Straße 282 63071 Offenbach,25200,Césped
Fulham,Londres,England,Craven Cottage,Stevenage Road,25700,Natural
Walsall,Walsall,England,The Banks's Stadium,"Bescot Crescent, Bescot",11300,Natural
Universidad LPGC,,,,,,
Racing Ferrol,Ferrol,Spain,A Malata,Avenida A Malata,12043,Césped natural
Siena,Siena,Italy,Stadio Comunale Artemio Franchi,"Via Mille, 3",15373,Natural
Cittadella,Cittadella,Italy,Stadio Pier Cesare Tombolato,"Viale dello Sport, 7",7623,Natural
Crotone,Crotone,Italy,Ezio Scida,Via Cutro,16640,Natural
Ovarense,Ovar,Portugal,,,,
FC Marco,,,,,,
Reutlingen,Reutlingen,Germany,,,,
Rot Weiss Ahlen,,Germany,Wersestadion,August-Kirchner-Straße 14,11498,
Preston North End,Preston,England,Deepdale Stadium,Deepdale Road,23408,Natural
Gillingham,Gillingham,England,KRBS Priestfield Stadium,Redfern Avenue,11582,Natural
Grenoble,Grenoble,France,Des Alpes,Avenue de Valmy,20068,Natural
Istres,Istres,France,Stade Parsemain,Route Nationale 569,17363,Natural
Burgos,Burgos,Spain,Municipal de El Plantío,"Calle de la Cruz Roja, s/n",12200,Césped Natural
Gimnàstic,Tarragona,Spain,Nou Estadi,"Camino de la Budallera, s/n",14591,Natural
Poli Ejido,Ejido,Spain,Municipal De Santo Domingo,"c/ Angel Maeso s/n, El Ejido (Almeria)",7870,Césped natural
Modena,Modena,Italy,Stadio Alberto Braglia,"Viale Monte Kosica, 128/134",20507,Natural
Messina,Messina,Italy,Stadio Comunale San Filippo,"Via Comunale, San Filippo",37895,Natural
UD Oliveirense,,Portugal,Estádio Carlos Osório,Praceta da União Desportiva Oliveirense 3720-256 Oliveira de Azeméis,2670,Natural
SV Babelsberg 03,,Germany,Karl-Liebknecht-Stadion,Karl-Liebknecht-Straße 90,,
Union Berlin,Berlin,Germany,Stadion An der Alten Försterei,Hämmerlingstraße 80-88 12555 Berlin,22012,cesped real
Rotherham United,Rotherham,England,New York Stadium,Don Street,12021,Natural
Clermont,,France,Stade Gabriel Montpied,Rue Adrien-Mabut,10363,Natural
Stade de Reims,"Reims, Francia",France,Auguste-Delaune II,"33, Chaussée Bocquaine",21628,Natural
Terrassa FC,Tarrassa,Spain,Olímpic de Terrassa,"Avinguda dels Jocs Olímpics, 10, 08225 Terrassa (Barcelona)",11500,Césped Artificial
Triestina ,,Italy,Nereo Rocco,"Piazzale Atleti Azzurri d'Italia, 1 Trieste",28565,Natural
Catania,Catania,Italy,Stadio Angelo Massimino,Piazza Vincenzo Spedini,23420,Natural
Livorno,Livorno,Italy,Stadio Armando Picchi,Piazzale Montello 14,19238,Natural
Eintracht Trier,Tréveris,Germany,,,,
Wacker Burghausen,,Germany,Wacker-Arena,Liebigstraße,10200,Natural
Besancon RC,Besançon,France,Stade Léo-Lagrange,"15, avenue Léo Lagrange, 25000",15000,
FC Rouen 1899,Rouen,France,,"48, avenue des Canadiens 76140 Le Petit-Quevilly",,
AGOVV Apeldoorn,,,,,,
Ciudad de Murcia,,,,,,
At. Malagueño,Málaga,Spain,Ciudad Deportiva de la Federación Malagueña,"Calle Max Estrella S/N, Malaga",2000,Césped natural
Algeciras,Algeciras,Spain,Nuevo Mirador,Poligono de la Menacha,8209,Césped natural
AlbinoLeffe,Bérgamo,Italy,Stadio Atleti Azzurri d'Italia,"Viale Caio Giulio Cesare, 18",24726,Natural
Leixões,Matosinhos,Portugal,Estádio do Mar,Lugar da Cruz de Pau 4450 Matosinhos,9730,Natural
Jahn Regensburg,Ratisbona,Germany,Städtisches Jahnstadion,Prüfeningerstraße 57a,12500,Natural
Erzgebirge Aue,Aue,Germany,Sparkassen-Erzgebirgsstadion,Lößnitzer Straße 95 8280 Aue,15690,Natural
Cardiff City,Cardiff,Wales,Cardiff City Stadium,Leckwith Road,28016,Natural
Wigan Athletic,Wigan,England,The DW Stadium,"Robin Park, Loire Drive",25138,Natural
Dijon FCO,Dijon,France,Stade Gaston Gérard,"9, rue Ernest Champaux 21000 Dijon",15995,Natural
Pontevedra,Pontevedra,Spain,Estadio Municipal de Pasarón,"Calle Luis Otero s/n, 36005 Pontevedra",10500,Césped natural
AC Arezzo,Toscana,Italy,,,,
Catanzaro,,Italy,Stadio Nicola Ceravolo,Via Francesco Paglia,14650,Natural
Gondomar,,Portugal,San Miguel,,2450,
Olhanense,,Portugal,Estádio José Arcanjo,"Apartado 104, Rua da Feira",11662,Natural
FC Omniworld,,,,,,
Lorca Deportiva,,,,,,
Rimini,,Italy,Stadio Romeo Neri,Viale 9 Febbraio 1849,9798,Natural
Mantova,,Italy,Stadio Danilo Martelli,"Viale Te, 7-9",14854,Natural
Vizela,,Portugal,Estádio do Futebol Clube de Vizela,,7000,
FC Barreirense,Barreiro,Portugal,,,,
Siegen,Siegen,Germany,,,,
Paderborn,Paderborn,Germany,Benteler-Arena,Paderborner Straße 89,15306,Natural
Libourne Saint Se.,Libourne,France,,,,
Tours,Tours,France,Stade de la Vallée du Cher,Avenue Camille Chautemps / Rue Camille Danguillaume,11912,Natural
Ponferradina,Ponferrada,Spain,Municipal El Toralín,Calle El Toralin s/n,8800,Natural
Vecindario,,,,,,
Spezia,La Spezia,Italy,Stadio Alberto Picco,"Via Nicolò Fieschi, 18",10336,Césped Artificial
Frosinone,Frosinone,Italy,stadio Benito Stirpe,"Viale Olimpia, 03100, Frosinone FR, italia",16227,Natural
Ol. Moscavide,,,,,,
Trofense,,Portugal,Estádio do Clube Desportivo Trofense,Rua Américo Campos,5074,Natural
TuS Koblenz,Koblenz,Germany,Stadion Oberwerth,Altlöhrtor 13-15,16527,
FC Augsburg,Augsburg,Germany,WWK Arena,Bürgermeister Ulrich-Straße 90,30662,Natural
Colchester United,Colchester,England,Weston Homes Community Stadium,United Way,10083,Natural
Boulogne,Boulogne-sur-Mer,France,Stade de la Libération,Boulevard Eurvin,15242,Natural
Sevilla At.,Sevilla,Spain,Estadio Jesús Navas,"Carretera de Utrera, Km. 1, 41005 Montequinto (Sevilla)",6000,Natural
Granada 74,,,,,,
Grosseto,Grosseto,Italy,Stadio Olimpico Carlo Zecchini,"Via Veterani dello Sport, 6",9779,Natural
Fatima,,Portugal,Papa Francisco,,,
Wehen Burghausen,,,,,,
Hoffenheim,Sinsheim,Germany,WIRSOL Rhein-Neckar-Arena,Dietmar-Hopp-Straße 1,21000,Natural
Blackpool,Blackpool,England,Bloomfield Road,Seasiders Way,17625,Natural
Scunthorpe United,Scunthorpe,England,Glanford Park,Doncaster Road,9088,Natural
Vannes,Vannes,France,Stade de la Rabine,"56, place Théodore Decker",9143,Natural
Girona,,Spain,Montilivi,"Avenida Montilivi, 141",11056,Natural
Huesca,Huesca,Spain,El Alcoraz,"Camino Cocoron, s/n 22004 Huesca",7638,Natural
Alicante,,,,,,
Sassuolo,"Reggio Emilia, Italia",Italy,Stadio Città del Tricolore,"Piazza Azzuri d'Italia, 1",29546,Natural
Ingolstadt 04,Ingolstadt,Germany,Audi-Sportpark,Geisenfelder Straße 1 85053 Ingolstadt,15729,NATURAL
Doncaster Rovers,Doncaster,England,Keepmoat Stadium,"Stadium Way, Lakeside",15231,Natural
Swansea City,Swansea,Wales,Liberty Stadium,Normandy Road,20769,Natural
Arles,,,,,,
F.C. Cartagena,Cartagena,Spain,Cartagonova,"Cartagena, Región de Murcia, España",15105,Césped natural
Villarreal B,Villarreal,Spain,Ciudad Deportiva Del Villarreal,Camino Miralcamp s/n 12540 Vila-Real (Castelló),5000,Natural
Real Unión Irún,Irun,Spain,Stadium Gal,"Patricio Arabolaza, 2, 20304 Irún",5600,Natural
Gallipoli ,,,,,,
Carregado,,Portugal,,,,
Evian Thonon Gail.,Annecy,France,Parc des Sports,Rue Pierre de Coubertin,15660,Natural
Almere City,Almere,Netherlands,Mitsubishi Forklift-Stadion,"Competitieweg 20 1318EA, Almere",2500,Césped Artificial
Alcorcón,Alcorcón,Spain,Santo Domingo,Avda. Pablo Iglesias s/n,5000,Natural
Granada,Granada,Spain,Nuevo Los Cármenes,"Calle Pintor Manuel Maldonado, s/n, 18007, Granada",19336,Natural
Calcio,,,,,,
Varese,Varese,Italy,Stadio Franco Ossola,"Via Bolchini, Masnago",9926,Natural
Novara,Novara,Italy,Stadio Comunale Silvio Piola,"Viale Kennedy, 8",17875,Césped Artificial
Arouca,,Portugal,Estádio Municipal de Arouca,Afonso Pinto Magalhães Valdasna,2500,Natural
Alcoyano,Alcoy,Spain,El Collao,"C/ Oliver, s/n",4850,Natural
CD Guadalajara,Guadalajara,Spain,Pedro Escartín,"Calle de Julián Besteiro, 14",5000,Natural
Juve Stabia,,Italy,Stadio Comunale Romeo Menti,"Via G. Cosenza, 283",7642,Césped Artificial
Nocerina,Nocera Inferiore,Italy,Stadio San Francesco,Viale San Francesco,9998,Natural
AS Gubbio 1910,,Italy,Stadio Pietro Barbetti,Via Parruccini - 06024 Gubbio,4160,natural
Atlético CP,Lisboa,Portugal,Estádio da Tapadinha,"Rua Prof. Viera Natividade, Alcântara",10000,Natural
GazÃ©lec Ajaccio,"Ajaccio, Corsica",France,Stade Municipal Ange Casanova Stiletto,"Route de Mezzavia, Mezzavia",4229,Natural
Mirandés,Miranda del Ebro,Spain,Estadio Municipal de Anduva,"Camino de Anduva, s/n 09200 Miranda de Ebro (Burgos)",5759,Natural
Pro Vercelli,,Italy,Stadio Silvio Piola,"Via Massaua, 5",6165,Césped Artificial
Virtus Lanciano,,,,,,
Benfica II,,Portugal,Caixa Futebol Campus,Av. General Norton de Matos Apartado 4100 1501-805 Lisboa,2720,Natural
Porto II,Oporto,Portugal,Estádio Dr. Jorge Sampaio,Rua da Paradela,8500,Natural
Sporting Braga II,,Portugal,Estádio 1º de Maio,Estádio Municipal de Braga Apartado 12 4711-909 Braga,28800,Natural
Tondela,Tondela,Portugal,João Cardoso,Rua Doutor Eurico José Gouveia,7500,Natural
Marítimo II,,Portugal,Campo da Imaculada Conceição,Complexo Desportivo C. S. Marítimo Rua Campo do Marítimo 9020 - 073 Funchal Portugal,2000,Natural
Sporting CP II,Lisboa,Portugal,Academia Sporting,Edificio Multidesportivo Açoreana Seguros Apartado 4120 1501-806 Lisboa,50466,Natural
VfR Aalen,Aalen,Germany,Scholz Arena,Stadionweg 3,11183,Natural
Sandhausen,Sandhausen,Germany,Hardtwaldstadion,Jahnstraße 1 69207 Sandhausen,12136,Natural
CA Bastia,,,,,,
Jong Twente,,,,,,
Jong Ajax,Amsterdam,Netherlands,Sportpark De Toekomst,"Borchlandweg 16-18, Zuidoost",5000,Natural
Achilles 29,Groesbeek,Netherlands,Sportpark De Heikant,Cranenburgsestraat 33 A,4500,Natural
Jong PSV,Eindhoven,Netherlands,Sportcomplex De Herdgang,Oirschotsedijk 12,2500,Natural
Trapani,,Italy,Stadio Polisportivo Provinciale,"Via G. Cesarò, Casa Santa",6766,Natural
Carpi,"Carpi, Italia",Italy,Stadio Sandro Cabassi,"Via Carlo Marx, 26",4164,Natural
Latina,Latina,Italy,Stadio Comunale Domenico Francioni,Piazzale Prampolini 4,8000,Natural
Yeovil Town,Yeovil,England,Huish Park Stadium,"Lufton Way, Lufton",9665,Natural
OrlÃ©ans,,France,Stade de la Source,"7, rue Beaumarchais",5000,Natural
Llagostera,Llagostera,Spain,Camp d’Esports Municipal de Llagostera,"Avinguda de l'Esport, s/n, 17240 Llagostera (Girona)",1400,Césped natural
Virtus Entella,Chiavari,Italy,Stadio Comunale Chiavari,"Via Aldo Gastaldi, 22",4154,Césped Artificial
Oriental Lisboa,,Portugal,Campo Engenheiro Carlos Salema,,8500,
Heidenheim,Heidenheim an der Brenz,Germany,Voith-Arena,Schloßhaustr. 162 89522 Heidenheim an der Brenz,15000,Natural
RB Leipzig,Leipzig,Germany,Red Bull Arena,Am Sportforum 3,44345,Natural
Paris FC,Paris,France,Stade Sébastien Charléty,"1, avenue Pierre de Coubertin",20000,Natural
Bourg-PÃ©ronnas,,France,Stade Muncipal de Péronnas,"1, rue de Stade",2541,Natural
Gazélec Ajaccio,"Ajaccio, Corsica",France,Stade Municipal Ange Casanova Stiletto,"Route de Mezzavia, Mezzavia",4229,Natural
Mafra,Mafra,Portugal,,,,
Milton Keynes Dons,Milton Keynes,England,Stadium mk,Stadium Way West,22000,Natural
Jong Utrecht,Utrecht,Netherlands,,,,
Reus Deportiu,,,,,,
UCAM Murcia,Murcia,Spain,BeSoccer La Condomina,"C/ Ronda de Garay, s/n, 30003, Murcia.",6014,Césped natural
Benevento,Benevento,Italy,Stadio Ciro Vigorito,Piazzale degli Atleti,18900,Natural
SPAL,Ferrara,Italy,Stadio Paolo Mazza,"Corso Piave, 28",17900,Natural
Cova Piedade,Piedade,Portugal,Estádio Municipal José Martins Vieira,,3500,
Fafe,Braga,Portugal,,,,
Würzburger,Würzburg,Germany,flyeralarm-Arena,Mittlerer Dallenbergweg 49 97082 Würzburg,14500,
Burton Albion,Burton,England,Pirelli Stadium,Princess Way,6912,Natural
Orléans,,France,Stade de la Source,"7, rue Beaumarchais",5000,Natural
Quevilly,,France,Stade Robert-Diochon,48 avenue des Canadiens 76140 Le Petit-Quevilly,12018,
Nîmes,Nimes,France,Stade des Costières,"123, avenue de la Bouvine",18482,Natural
Bourg-Péronnas,,France,Stade Muncipal de Péronnas,"1, rue de Stade",2541,Natural
Jong AZ,Alkmaar,Netherlands,,,,
Lorca FC,Lorca,Spain,Francisco Artés Carrasco,Carratera de Granada,8120,Césped natural
Cultural Leonesa,León,Spain,Municipal Reino de León,Paseo Sáenz de Miera 24009 León,13451,Césped Natural
Real Sport Clube,Queluz,Portugal,Complexo Desportivo do Real SC,,3600,
Holstein Kiel,Kiel,Germany,Holstein-Stadion,Westring 501,11522,Natural
Extremadura,Almendralejo,Spain,Francisco de la Hera,"Carretera de Sevilla, 16 06200 – Almendralejo (Badajoz)",11580,Césped natural
Rayo Majadahonda,Majadahonda,Spain,Cerro del Espino,"Carretera de Pozuelo, S/N",3900,Natural
Nuova Cosenza,,Italy,Stadio San Vito,Via degli Stadio,24209,Natural
Magdeburg,Magdeburg,Germany,,,,
Rodez,Rodez,France,Stade Paul-Lignon,"2, rue Vieussens",6000,
Chambly,Chambly,France,Stade des Marais,Quartier du Mesnil-Saint-Martin 60230 Chambly,1000,
Fuenlabrada,Fuenlabrada,Spain,Fernando Torres,"Camino del Molino, s/n",6000,Natural
Pordenone,Pordenone,Italy,,,,
Casa Pia,Lisboa,Portugal,,,,
Vilafranquense,Vila Franca de Xira,Portugal,,,,
Wehen Wiesbaden,Wiesbaden,Germany,BRITA-Arena,Berliner Straße 9,13144,Natural
Olympique Alès,Ales,France,Stade Pierre Pibarot,1730 Chemin De Trespaux,9000,
Épinal,,France,Stade de La Colombière,Chemin du chaperon Rouge 88005 Épinal,7200,
Sète,Sete,France,Stade Louis-Michel,Stade Louis Michel Rue Bachaga Boualem 34201 Sète,8700,
Béziers,,France,Stade de Sauclières,,12000,
Ã‰pinal,,France,Stade de La Colombière,Chemin du chaperon Rouge 88005 Épinal,7200,
Olympique AlÃ¨s,Ales,France,Stade Pierre Pibarot,1730 Chemin De Trespaux,9000,
SÃ¨te,Sete,France,Stade Louis-Michel,Stade Louis Michel Rue Bachaga Boualem 34201 Sète,8700,
FC Cartagena,Cartagena,Spain,Cartagonova,"Cartagena, Región de Murcia, España",15105,Césped natural
BÃ©ziers,,France,Stade de Sauclières,,12000,
Wycombe Wanderers,Wycombe,England,Adams Park,Hillbottom Road,10000,Natural
Pau FC,,France,Stade du Hameau,Boulevard de L'aviation PAU 64000 FRANCE,13966,
UD Logroñés,Logroño,Spain,Las Gaunas,Avenida de la Sierra,16250,Césped Natural
